Index,Date,Year,Month,Day,Hour,Day of week,DE/LU[€/MWh],Comsumption [MWh],Wind offshore[MWh],Wind onshore[MWh],PV[MWh],Other[MWh]
0,2018-10-01 00:00:00+02:00,2018,10,1,0,0,59.53,44217.25,1617.25,4242.0,0.0,42563.75
1,2018-10-01 01:00:00+02:00,2018,10,1,1,0,56.1,42760.25,1657.5,4096.5,0.0,41708.0
2,2018-10-01 02:00:00+02:00,2018,10,1,2,0,51.41,42239.5,1750.5,4152.0,0.0,40940.5
3,2018-10-01 03:00:00+02:00,2018,10,1,3,0,47.38,42608.5,1895.25,4436.25,0.0,40380.5
4,2018-10-01 04:00:00+02:00,2018,10,1,4,0,47.59,44296.25,2138.25,4816.25,0.0,41548.5
5,2018-10-01 05:00:00+02:00,2018,10,1,5,0,51.61,48425.75,2368.5,5276.0,0.0,45440.5
6,2018-10-01 06:00:00+02:00,2018,10,1,6,0,69.13,57472.0,2649.25,5625.25,0.0,49902.5
7,2018-10-01 07:00:00+02:00,2018,10,1,7,0,77.32,62667.0,2895.75,6085.25,220.75,56035.25
8,2018-10-01 08:00:00+02:00,2018,10,1,8,0,84.97,65231.0,3155.5,6225.0,1766.25,58194.25
9,2018-10-01 09:00:00+02:00,2018,10,1,9,0,79.56,66245.25,3406.75,5958.5,4312.5,59984.25
10,2018-10-01 10:00:00+02:00,2018,10,1,10,0,73.7,67181.75,3637.5,6508.0,6749.25,60653.25
11,2018-10-01 11:00:00+02:00,2018,10,1,11,0,71.63,68520.0,3804.25,7605.25,8647.25,59253.25
12,2018-10-01 12:00:00+02:00,2018,10,1,12,0,63.15,67046.25,3900.5,8886.75,9645.5,58782.25
13,2018-10-01 13:00:00+02:00,2018,10,1,13,0,60.24,66698.0,3864.25,10434.0,9631.25,57381.5
14,2018-10-01 14:00:00+02:00,2018,10,1,14,0,56.18,65362.75,3870.75,11926.75,9017.75,56286.75
15,2018-10-01 15:00:00+02:00,2018,10,1,15,0,53.0,64629.5,3945.75,12799.25,7681.25,55749.75
16,2018-10-01 16:00:00+02:00,2018,10,1,16,0,53.37,62752.5,4054.0,13285.5,5420.5,55451.0
17,2018-10-01 17:00:00+02:00,2018,10,1,17,0,60.42,62730.5,4111.5,13515.5,2720.5,55312.5
18,2018-10-01 18:00:00+02:00,2018,10,1,18,0,69.93,63260.5,4147.75,13217.0,527.25,55050.0
19,2018-10-01 19:00:00+02:00,2018,10,1,19,0,75.0,63683.0,4152.25,13239.25,1.75,58016.75
20,2018-10-01 20:00:00+02:00,2018,10,1,20,0,65.83,61950.75,4146.25,13432.0,0.0,54643.75
21,2018-10-01 21:00:00+02:00,2018,10,1,21,0,53.86,58547.25,4120.0,13506.0,0.0,51122.0
22,2018-10-01 22:00:00+02:00,2018,10,1,22,0,46.46,54127.5,3904.25,13219.75,0.0,47808.0
23,2018-10-01 23:00:00+02:00,2018,10,1,23,0,42.5,50559.0,3666.0,12798.25,0.0,43853.75
24,2018-10-02 00:00:00+02:00,2018,10,2,0,1,45.1,45919.0,3384.5,12923.5,0.0,41442.0
25,2018-10-02 01:00:00+02:00,2018,10,2,1,1,44.1,44293.75,3165.75,12737.0,0.0,40424.25
26,2018-10-02 02:00:00+02:00,2018,10,2,2,1,44.06,43391.75,3111.0,12589.5,0.0,39953.5
27,2018-10-02 03:00:00+02:00,2018,10,2,3,1,43.77,43776.75,3250.5,12489.25,0.0,40175.25
28,2018-10-02 04:00:00+02:00,2018,10,2,4,1,44.29,44912.0,3487.75,12626.25,0.0,41195.0
29,2018-10-02 05:00:00+02:00,2018,10,2,5,1,48.13,47400.75,3747.25,12927.25,0.0,42729.5
30,2018-10-02 06:00:00+02:00,2018,10,2,6,1,57.7,53797.75,4094.0,13569.5,0.0,48563.5
31,2018-10-02 07:00:00+02:00,2018,10,2,7,1,68.21,58514.75,4359.0,14235.25,329.25,52061.5
32,2018-10-02 08:00:00+02:00,2018,10,2,8,1,70.36,61377.75,4541.0,14936.0,2519.75,54242.25
33,2018-10-02 09:00:00+02:00,2018,10,2,9,1,54.53,63160.0,4555.5,16147.75,5601.75,54036.0
34,2018-10-02 10:00:00+02:00,2018,10,2,10,1,48.49,64133.0,4501.75,18776.5,7869.75,53041.0
35,2018-10-02 11:00:00+02:00,2018,10,2,11,1,46.19,65689.25,4520.0,21792.25,8969.5,51994.25
36,2018-10-02 12:00:00+02:00,2018,10,2,12,1,44.15,65217.25,4513.25,24407.0,9130.25,50247.5
37,2018-10-02 13:00:00+02:00,2018,10,2,13,1,30.79,64157.75,4459.25,26266.0,8438.75,48427.0
38,2018-10-02 14:00:00+02:00,2018,10,2,14,1,27.75,62688.75,4456.75,27516.5,7112.75,46587.0
39,2018-10-02 15:00:00+02:00,2018,10,2,15,1,30.74,62230.75,4504.5,28241.75,5368.75,45012.0
40,2018-10-02 16:00:00+02:00,2018,10,2,16,1,26.77,60866.25,4554.75,28740.5,3471.75,43813.0
41,2018-10-02 17:00:00+02:00,2018,10,2,17,1,38.68,60421.75,4604.0,28691.75,1577.5,44418.75
42,2018-10-02 18:00:00+02:00,2018,10,2,18,1,48.52,60932.75,4763.5,28086.25,269.75,45051.5
43,2018-10-02 19:00:00+02:00,2018,10,2,19,1,49.03,61882.5,4793.75,27694.5,0.5,46296.25
44,2018-10-02 20:00:00+02:00,2018,10,2,20,1,45.43,60384.75,4819.0,27249.75,0.0,44019.25
45,2018-10-02 21:00:00+02:00,2018,10,2,21,1,32.04,56931.75,4840.5,26785.75,0.0,41023.75
46,2018-10-02 22:00:00+02:00,2018,10,2,22,1,26.22,53080.75,4861.5,25987.5,0.0,38454.0
47,2018-10-02 23:00:00+02:00,2018,10,2,23,1,1.08,49251.75,4857.5,26112.5,0.0,34907.0
48,2018-10-03 00:00:00+02:00,2018,10,3,0,2,2.13,43895.25,4428.0,28958.75,0.0,25965.25
49,2018-10-03 01:00:00+02:00,2018,10,3,1,2,0.1,42072.5,4502.75,28994.75,0.0,25159.5
50,2018-10-03 02:00:00+02:00,2018,10,3,2,2,0.05,40902.5,4591.75,28972.25,0.0,23983.0
51,2018-10-03 03:00:00+02:00,2018,10,3,3,2,0.07,40712.25,4694.75,28627.25,0.0,23781.0
52,2018-10-03 04:00:00+02:00,2018,10,3,4,2,-0.08,40830.0,4764.25,28408.5,0.0,25694.25
53,2018-10-03 05:00:00+02:00,2018,10,3,5,2,-0.09,40841.25,4809.25,28097.0,0.0,25919.75
54,2018-10-03 06:00:00+02:00,2018,10,3,6,2,-4.97,40664.5,4828.0,28071.0,0.0,26647.0
55,2018-10-03 07:00:00+02:00,2018,10,3,7,2,-0.06,42790.5,4827.25,27413.0,186.0,27710.75
56,2018-10-03 08:00:00+02:00,2018,10,3,8,2,0.7,46564.0,4798.75,26831.25,1718.0,29402.0
57,2018-10-03 09:00:00+02:00,2018,10,3,9,2,0.91,49684.5,4751.25,26397.25,4449.75,30558.75
58,2018-10-03 10:00:00+02:00,2018,10,3,10,2,-0.03,51373.5,4705.25,26396.5,7421.5,31193.75
59,2018-10-03 11:00:00+02:00,2018,10,3,11,2,0.03,53364.25,4784.25,26372.25,10059.5,32326.0
60,2018-10-03 12:00:00+02:00,2018,10,3,12,2,-0.04,53121.75,4806.5,25857.0,11629.75,33361.75
61,2018-10-03 13:00:00+02:00,2018,10,3,13,2,0.0,50861.0,4646.75,24942.75,12074.75,32925.75
62,2018-10-03 14:00:00+02:00,2018,10,3,14,2,0.03,49443.0,4517.5,23779.75,11545.25,31908.5
63,2018-10-03 15:00:00+02:00,2018,10,3,15,2,5.75,48846.75,4415.25,22218.75,9777.0,32026.0
64,2018-10-03 16:00:00+02:00,2018,10,3,16,2,20.28,49022.75,4318.75,20163.5,6804.5,33623.25
65,2018-10-03 17:00:00+02:00,2018,10,3,17,2,43.2,49968.0,4177.25,17483.75,3234.25,37824.75
66,2018-10-03 18:00:00+02:00,2018,10,3,18,2,63.23,51296.25,3965.75,14274.25,521.75,40158.25
67,2018-10-03 19:00:00+02:00,2018,10,3,19,2,71.44,52860.5,3783.5,12100.0,0.75,44007.75
68,2018-10-03 20:00:00+02:00,2018,10,3,20,2,67.95,51823.0,3472.75,10820.0,0.0,43573.25
69,2018-10-03 21:00:00+02:00,2018,10,3,21,2,56.88,49735.75,3168.75,10256.75,0.0,41807.5
70,2018-10-03 22:00:00+02:00,2018,10,3,22,2,62.85,48265.75,2899.75,9976.0,0.0,41786.25
71,2018-10-03 23:00:00+02:00,2018,10,3,23,2,48.72,45340.5,2687.25,9557.5,0.0,40633.25
